Year,Month,Day,LWA_Anticylonic,LWA_Cylonic
1959,1,1,172816.9332324,2297910.112456
1959,1,2,184983.2312935,5185774.562938
1959,1,3,167831.3691782,12009030.3247
1959,1,4,191758.4370484,24501774.95162
1959,1,5,57787.88199783,43473634.00645
1959,1,6,216791.9447953,73935061.88736
1959,1,7,451427.6748005,40788328.91466
1959,1,8,689829.5229824,19240718.9203
1959,1,9,2007836.017795,22964192.87844
1959,1,10,3155661.380348,41852896.42067
1959,1,11,3029661.439438,21930102.91114
1959,1,12,3524358.715465,6648998.730018
1959,1,13,4624548.231625,2665315.981646
1959,1,14,733068.9006696,4764548.258417
1959,1,15,2973.185368584,1941779.818611
1959,1,16,59571.56495555,22743749.4075
1959,1,17,569668.8107758,62119583.14133
1959,1,18,298520.6957364,37984417.28048
1959,1,19,298075.7811563,16417215.52174
1959,1,20,988456.8064729,4419494.026623
1959,1,21,5955870.479544,3008494.029464
1959,1,22,5691836.800203,19452003.39956
1959,1,23,1846509.588569,23467289.23813
1959,1,24,629929.7824666,8539271.26267
1959,1,25,565257.5769046,6282635.93493
1959,1,26,43865.41635855,5536246.048243
1959,1,27,15651.09826649,2226493.283258
1959,1,28,116517.1928902,1269806.849816
1959,1,29,407222.9431144,150392.8249365
1959,1,30,1844517.341346,610427.327666
1959,1,31,1147567.398884,6672357.556882
1959,2,1,764289.0682262,12181573.50457
1959,2,2,526116.7931535,7736535.980627
1959,2,3,58981.75755072,2096656.12573
1959,2,4,130501.2813562,22989737.65667
1959,2,5,1980447.838386,31790199.92278
1959,2,6,3258754.391166,23163659.68181
1959,2,7,1431844.662205,16843204.34494
1959,2,8,615432.0072596,13425910.50868
1959,2,9,544155.1504294,4645832.704107
1959,2,10,2512734.766452,1176500.280828
1959,2,11,4043366.856594,1877260.570471
1959,2,12,2770171.73427,2374032.939423
1959,2,13,3203916.318902,750899.8740812
1959,2,14,3774804.289851,873178.5073351
1959,2,15,1909939.106034,976385.0587068
1959,2,16,741082.1838641,2226563.6383
1959,2,17,108251.9803327,5903988.242151
1959,2,18,16119.59632849,7818844.818812
1959,2,19,1798.024604022,19329289.86709
1959,2,20,17574.21953248,30626791.82302
1959,2,21,200639.9860317,19670484.64623
1959,2,22,711759.8969668,15113603.68834
1959,2,23,542698.7096498,6473601.278151
1959,2,24,183807.2958063,5392288.883983
1959,2,25,8704.006482347,4182037.906966
1959,2,26,20857.30499583,1534359.039252
1959,2,27,141512.230714,1059150.721228
1959,2,28,166276.3026575,867475.1148227
1959,3,1,203121.639384,2555170.944938
1959,3,2,233399.0721993,3762622.203615
1959,3,3,143914.6289121,6850253.523125
1959,3,4,292921.7866648,3385019.025239
1959,3,5,259461.6029686,2934239.415534
1959,3,6,677812.298241,9893172.025374
1959,3,7,460624.9541994,16112475.74105
1959,3,8,64347.0697807,12734259.73337
1959,3,9,1110.441261849,7635610.137334
1959,3,10,9.979615780971,6308363.64529
1959,3,11,0,6647637.506552
1959,3,12,0,12894894.30997
1959,3,13,1003.691300064,43285051.93298
1959,3,14,372.0786968374,34412981.33201
1959,3,15,74354.11129246,7439881.40639
1959,3,16,522086.4200742,17980962.81827
1959,3,17,491486.5313971,24196395.404
1959,3,18,479255.6361313,16612052.38398
1959,3,19,303665.4653032,4690209.736658
1959,3,20,76464.76000634,287602.7754466
1959,3,21,27994.80623114,1510909.891206
1959,3,22,100201.3798543,7760846.844568
1959,3,23,116770.8310099,10124444.30803
1959,3,24,156439.0456423,3845389.085515
1959,3,25,534509.9597472,392682.6102188
1959,3,26,667478.7095246,1045768.90495
1959,3,27,381277.2056711,2314754.901095
1959,3,28,300201.1869176,3984040.192135
1959,3,29,166519.3245627,2778089.897385
1959,3,30,105956.2726239,50675.45596844
1959,3,31,45379.47254661,20546.73054311
1959,4,1,45344.34782375,259226.3827126
1959,4,2,55412.56269507,2804294.954421
1959,4,3,158842.2343709,6806905.67913
1959,4,4,95237.40570814,4847986.465897
1959,4,5,69837.02395059,1051270.225479
1959,4,6,333150.1656865,1043172.173604
1959,4,7,456020.7236785,1163604.890236
1959,4,8,770206.872694,309123.1836412
1959,4,9,2008050.403153,360470.0163402
1959,4,10,3603792.399938,572156.2101885
1959,4,11,2886308.84157,1079127.220833
1959,4,12,1106938.00099,2437948.91986
1959,4,13,467715.8329324,4993941.39912
1959,4,14,222911.5686166,6806973.076283
1959,4,15,36051.76462787,10242348.40733
1959,4,16,11894.48055557,2864905.22372
1959,4,17,209605.7102736,606272.8044046
1959,4,18,683513.4412796,277845.5823335
1959,4,19,93022.4550222,294447.5570767
1959,4,20,3964.98391149,2018040.202762
1959,4,21,2774.653632669,5478158.313405
1959,4,22,4013.560009744,6921505.84517
1959,4,23,14338.64323129,2716552.325211
1959,4,24,21899.42588439,2503752.823721
1959,4,25,262970.5282705,1597227.960734
1959,4,26,1442338.616558,797564.0236103
1959,4,27,537470.1497957,280747.4597562
1959,4,28,3307.507017792,827280.0939916
1959,4,29,5886.971088171,6123561.14548
1959,4,30,9743.837934579,4327627.747638
1959,5,1,189963.0942186,1582474.276286
1959,5,2,2049550.578517,861429.1431495
1959,5,3,6256799.885089,2301729.368724
1959,5,4,9320465.861205,2841490.806767
1959,5,5,10990130.98556,2827091.710056
1959,5,6,7619633.546669,2719770.707621
1959,5,7,4784021.103278,1674579.573982
1959,5,8,2637935.521929,242398.173149
1959,5,9,210519.2175006,1624516.068259
1959,5,10,322428.8829983,1499892.453176
1959,5,11,1762033.098405,2684989.496456
1959,5,12,4585001.963996,1381347.551773
1959,5,13,2038147.578584,1429362.333119
1959,5,14,213457.321368,3888942.143935
1959,5,15,41557.71397585,13499134.71056
1959,5,16,52955.64036925,26033652.78612
1959,5,17,56219.53226225,29169884.03554
1959,5,18,43318.91601562,12636877.66752
1959,5,19,1449696.087545,508760.3551661
1959,5,20,8495376.032564,9823.594875179
1959,5,21,10635998.45143,5409.531578295
1959,5,22,5349355.283144,18713.65868847
1959,5,23,4402765.374802,454871.0925612
1959,5,24,4182321.048919,732604.4705029
1959,5,25,2571425.329734,1355454.311444
1959,5,26,4354877.615149,25504.97089417
1959,5,27,12662552.5394,9756.784749349
1959,5,28,19277085.60143,1273.71322659
1959,5,29,11597628.34272,2192.241534065
1959,5,30,5622075.726587,2156.004607338
1959,5,31,2715807.473622,138423.7682988
1959,6,1,1220568.069914,22835.90272541
1959,6,2,467471.4370438,41168.75029528
1959,6,3,497899.782062,25431.1414035
1959,6,4,753889.4185671,46993.9850064
1959,6,5,871982.9034355,45692.36937457
1959,6,6,899292.4574331,151708.0280174
1959,6,7,1993667.945889,156698.1727587
1959,6,8,5340497.013428,157576.2715832
1959,6,9,10632819.02292,105978.3521156
1959,6,10,6932173.399141,26129.10654323
1959,6,11,2828569.0199,257178.5204121
1959,6,12,2174115.570722,118205.2599452
1959,6,13,3239317.141936,2238765.347915
1959,6,14,1921145.152419,6784527.307215
1959,6,15,2271406.624855,8626141.31801
1959,6,16,3739881.53213,9713158.564364
1959,6,17,5483796.069286,7123041.228628
1959,6,18,4031708.030011,5272641.635549
1959,6,19,3957729.247415,6249260.532829
1959,6,20,3389613.806734,8661322.36577
1959,6,21,568424.1516742,4378561.013074
1959,6,22,878894.4443145,3918986.247276
1959,6,23,3165027.337147,2619773.468978
1959,6,24,2949556.964632,1829072.064534
1959,6,25,3513583.410159,632584.2908969
1959,6,26,7690925.09842,46145.57308432
1959,6,27,18074493.55189,15306.93336995
1959,6,28,27907464.58795,163580.3817123
1959,6,29,26872223.59773,125914.6725465
1959,6,30,14166014.28414,77610.5958648
1959,7,1,12528780.00278,521264.9857062
1959,7,2,20372243.98412,146297.137373
1959,7,3,16004157.4945,519063.695524
1959,7,4,4608124.774343,960849.6154115
1959,7,5,2176515.691695,875293.7442203
1959,7,6,9023105.647438,752052.2693902
1959,7,7,16884886.60726,392167.6986951
1959,7,8,23800801.24393,97826.55515114
1959,7,9,22073582.47598,808537.0556266
1959,7,10,9607337.841892,1475415.364936
1959,7,11,7544561.118841,2559421.34983
1959,7,12,13269494.46986,1918355.546113
1959,7,13,16735241.87949,285811.1117677
1959,7,14,16184278.39369,1390.548310142
1959,7,15,17061029.64709,0
1959,7,16,15841783.37624,0
1959,7,17,11286520.8799,114.9259356058
1959,7,18,6866552.29846,181852.3607019
1959,7,19,11463336.19668,678233.2368234
1959,7,20,16245454.54199,157299.6208425
1959,7,21,24628399.73774,2749.533411798
1959,7,22,33659010.45021,723.060019862
1959,7,23,29765964.43748,16059.00494058
1959,7,24,21769038.2892,154122.4799583
1959,7,25,19495623.70215,279574.5901414
1959,7,26,24888807.67104,445616.9447531
1959,7,27,25386715.2717,66005.70509336
1959,7,28,26891982.44762,23965.35586738
1959,7,29,41798104.0168,652.8308806122
1959,7,30,61992612.40874,0
1959,7,31,41040206.33234,6931.657904803
1959,8,1,24933553.62079,1183681.892534
1959,8,2,18261491.77506,2006779.329454
1959,8,3,17728501.77938,208859.1583041
1959,8,4,17547515.27585,16441.71580032
1959,8,5,15084842.03214,23143.16761418
1959,8,6,13613780.47915,153881.154365
1959,8,7,14262723.48383,159635.2955045
1959,8,8,7338393.313744,75414.9586706
1959,8,9,4518992.163378,117022.2503833
1959,8,10,5798719.742565,251845.1031615
1959,8,11,11772954.04597,85722.30931335
1959,8,12,20727984.1456,7262.698608616
1959,8,13,29155345.64309,7950.480411958
1959,8,14,36246583.80016,68680.8719811
1959,8,15,39488131.87406,1349.303529682
1959,8,16,33411496.60954,30687.17985635
1959,8,17,27599547.38742,155912.1612553
1959,8,18,33331220.92259,40497.7340207
1959,8,19,43365082.63481,166939.1732963
1959,8,20,41813554.55152,632087.5026692
1959,8,21,34923458.62286,672476.874406
1959,8,22,29568578.29933,2447454.578216
1959,8,23,28939341.73111,2278670.346684
1959,8,24,37775569.86807,295252.9545277
1959,8,25,34306220.74755,95853.98657879
1959,8,26,20651634.79298,247865.3943165
1959,8,27,19590336.13356,198585.3622833
1959,8,28,15587273.66498,146444.745778
1959,8,29,8571375.271709,36281.75139304
1959,8,30,3772238.352949,18.17096610928
1959,8,31,3934501.876072,7452.584360867
1959,9,1,7302751.088725,102800.2244864
1959,9,2,8024797.149279,776350.996079
1959,9,3,13967483.40171,1090935.794635
1959,9,4,20716881.65892,155873.2089368
1959,9,5,16426268.67677,1816.395104067
1959,9,6,20509730.88896,19848.20216759
1959,9,7,28552334.88321,23162.0153022
1959,9,8,39722071.65675,0
1959,9,9,39201900.14096,26137.34773894
1959,9,10,27154427.90642,41371.69997424
1959,9,11,17807079.69633,206.6606158088
1959,9,12,14641360.70237,360.7869915206
1959,9,13,9949746.215925,1516310.489056
1959,9,14,1243553.353954,12794906.75748
1959,9,15,111438.7844505,16577299.70395
1959,9,16,443351.9798161,11706862.20434
1959,9,17,1794099.730791,7879946.1039
1959,9,18,7680260.468118,4307175.798766
1959,9,19,14054736.96165,759238.6999229
1959,9,20,14962912.26005,8506.112688088
1959,9,21,8596663.294409,4230.022393184
1959,9,22,6189785.228004,5791.994460053
1959,9,23,14804796.76472,10234.3169102
1959,9,24,18924941.09331,1485.522388261
1959,9,25,7174024.962311,130831.0749886
1959,9,26,2614529.104674,1182040.963212
1959,9,27,8704891.666446,2297935.65874
1959,9,28,24649213.94426,888696.5850663
1959,9,29,26359270.63127,345462.9311744
1959,9,30,14129249.18535,193967.2821068
1959,10,1,5566173.952553,103650.7331695
1959,10,2,2201904.17699,157250.8736206
1959,10,3,7316371.599186,148584.0261759
1959,10,4,12924197.1477,7522.826232285
1959,10,5,15652716.5078,32289.33300085
1959,10,6,7019370.975111,24729.76808229
1959,10,7,2182351.372614,4198.896044835
1959,10,8,3158994.723708,421496.7547187
1959,10,9,6423220.228512,596273.7999048
1959,10,10,12433552.60835,566574.9583127
1959,10,11,9218117.474546,3567675.304706
1959,10,12,2825862.450079,4110794.133844
1959,10,13,171412.9318856,4305414.2827
1959,10,14,269867.4300215,4175380.095666
1959,10,15,2124269.274535,2569706.179873
1959,10,16,2929263.171172,586610.4175702
1959,10,17,1275073.210042,367195.5176145
1959,10,18,142171.7755168,7903902.879156
1959,10,19,128515.7373467,17012535.48525
1959,10,20,58447.23862967,2393345.234011
1959,10,21,262365.1557876,899570.6436338
1959,10,22,338483.3691443,9736.157975222
1959,10,23,334766.7397162,641743.5550531
1959,10,24,745176.1681803,8895494.499373
1959,10,25,781241.888409,21211284.15745
1959,10,26,579086.141934,9836548.629924
1959,10,27,8726.845010713,4549208.406477
1959,10,28,573890.4098964,1461665.297201
