Year,Month,Day,UWnd
1900,12,20,23.889946
1900,12,21,21.323973
1900,12,22,19.319141
1900,12,23,17.757023
1900,12,24,17.454418
1900,12,25,20.427599
1900,12,26,21.718864
1900,12,27,21.998142
1900,12,28,25.032455
1900,12,29,27.102625
1900,12,30,25.365492
1900,12,31,22.368996
1901,1,1,22.866989
1901,1,2,20.903631
1901,1,3,16.581234
1901,1,4,14.406467
1901,1,5,16.595467
1901,1,6,18.697186
1901,1,7,21.318333
1901,1,8,23.499311
1901,1,9,25.128366
1901,1,10,23.100018
1901,1,11,21.949636
1901,1,12,19.355232
1901,1,13,17.037243
1901,1,14,19.485794
1901,1,15,20.380062
1901,1,16,23.88908
1901,1,17,27.569799
1901,1,18,28.000851
1901,1,19,24.250607
1901,1,20,20.878658
1901,1,21,22.008936
1901,1,22,22.702591
1901,1,23,24.329279
1901,1,24,23.496672
1901,1,25,23.251217
1901,1,26,20.551281
1901,1,27,16.768555
1901,1,28,17.379375
1901,1,29,14.940763
1901,1,30,12.759421
1901,1,31,14.299919
1901,2,1,16.798832
1901,2,2,18.26556
1901,2,3,16.07061
1901,2,4,15.540999
1901,2,5,13.898416
1901,2,6,10.526309
1901,2,7,6.15412
1901,2,8,5.9543271
1901,2,9,6.11901
1901,2,10,6.8829856
1901,2,11,8.0944662
1901,2,12,9.5314236
1901,2,13,11.729623
1901,2,14,12.504977
1901,2,15,10.731295
1901,2,16,12.832157
1901,2,17,13.797447
1901,2,18,14.444092
1901,2,19,11.54568
1901,2,20,10.431585
1901,2,21,8.51686
1901,2,22,6.1023526
1901,2,23,7.8319702
1901,2,24,8.8535309
1901,2,25,14.357159
1901,2,26,18.971718
1901,2,27,22.472525
1901,2,28,25.287542
1901,3,1,24.824436
1901,3,2,24.616861
1901,3,3,27.666306
1901,3,4,28.443016
1901,3,5,27.106758
1901,3,6,23.855328
1901,3,7,21.644209
1901,3,8,24.22673
1901,3,9,23.674427
1901,3,10,21.291992
1901,3,11,20.80254
1901,3,12,18.876814
1901,3,13,16.896421
1901,3,14,14.203041
1901,3,15,14.184804
1901,3,16,15.349171
1901,3,17,14.862675
