Year,Month,Tin,Tout
1890,7,0.16452397,0.27146198
1890,8,-1.1252899,-0.88680643
1890,9,-0.86609317,-0.4412413
1890,10,-0.47584599,-0.91418961
1890,11,1.4132463,0.76737468
1890,12,1.0278634,2.1412549
1891,1,1.9160481,1.0257991
1891,2,3.0673803,-2.314606
1891,3,-2.4994767,-3.0115293
1891,4,0.70878769,0.41729897
1891,5,-1.0388299,-0.38331066
1891,6,1.1136677,-1.3893122
1891,7,-1.7798934,-1.3635809
1891,8,-0.94729907,-0.26259952
1891,9,0.46926738,0.79228126
1891,10,-1.2536107,-0.30020769
1891,11,-1.549656,-0.68059792
1891,12,2.584136,1.2402823
1892,1,-1.5844886,-0.84173406
1892,2,2.9612543,0.34694416
1892,3,-2.3634196,-0.84774985
1892,4,-0.14469105,-1.1993271
1892,5,-0.20707512,-1.6574269
1892,6,0.65516744,-0.66825931
1892,7,-0.6115103,-0.61668413
1892,8,-0.15002876,-0.10128923
1892,9,-0.8950363,0.93837758
1892,10,0.34029996,-0.10938851
1892,11,-1.4409708,-0.66608206
1892,12,-0.65846402,-1.481063
1893,1,-2.1811286,-0.78400579
1893,2,1.0824115,-2.6091542
1893,3,-0.91358125,-2.0920307
1893,4,1.4826433,-1.4134261
1893,5,-0.46492579,-1.0360544
1893,6,0.06834598,0.0056614353
1893,7,0.76709351,-0.17725845
1893,8,-0.54594348,-0.62913213
1893,9,0.47083194,-0.40097547
1893,10,-0.29382787,-0.96597904
1893,11,-1.3449152,-1.4336595
1893,12,1.3472588,0.94891337
1894,1,3.2746266,-0.44518671
1894,2,-0.26721139,-3.6102412
1894,3,2.02885,0.13900486
1894,4,0.57573119,0.62341822
1894,5,0.33568814,0.64603876
1894,6,0.41523057,-0.43221516
1894,7,-0.72355737,0.0023728273
1894,8,-0.12272333,0.038674568
1894,9,0.70300987,-0.36394872
1894,10,0.26376908,-0.018419101
1894,11,-1.6671091,0.23973964
1894,12,1.32426,1.0049482
1895,1,-0.5010324,-1.5841468
1895,2,-5.3522176,-3.5906489
1895,3,-0.50147092,-1.0258205
1895,4,0.3830594,1.244981
1895,5,-0.30574386,-0.10756757
1895,6,0.72841577,-0.88820315
1895,7,-0.61776692,-1.4518872
1895,8,0.35266563,-0.4493643
1895,9,2.1436756,0.13920241
1895,10,-2.323894,-1.303658
1895,11,-0.75194527,-1.6945253
1895,12,0.21541416,-0.30611807
1896,1,1.2338391,1.1046055
1896,2,0.87760947,0.66205198
1896,3,-1.9253107,-2.0950499
1896,4,3.1937342,-0.22702204
1896,5,3.3476449,0.30988506
1896,6,0.24033055,0.66298134
1896,7,0.54354757,-0.15331995
1896,8,1.1604198,-0.10553921
1896,9,0.046081917,-1.0293663
1896,10,-0.74403986,-1.0779434
1896,11,1.2302414,-3.0311444
1896,12,0.93413954,2.2154609
1897,1,-0.31687981,-0.84369035
1897,2,1.9084176,-0.84354785
1897,3,1.920793,-2.6793522
1897,4,-0.26151592,0.03451165
1897,5,-1.0398252,0.95353099
1897,6,1.0595534,-0.81636573
1897,7,0.73275828,-0.64188018
1897,8,-0.18104946,-0.38775787
1897,9,1.3115174,0.90905613
1897,10,2.5392252,0.0076834387
1897,11,0.074824352,-0.90839905
1897,12,0.09822579,-0.99731575
1898,1,3.643342,0.025879246
1898,2,0.48756546,0.86552372
1898,3,1.9507735,-1.1951303
1898,4,-2.0846418,0.20275678
1898,5,1.3416916,-0.78113583
1898,6,1.4366312,-0.11231284
1898,7,0.082276191,-0.41345141
1898,8,0.25316278,0.44739279
1898,9,1.3168711,0.16699008
1898,10,-0.77983977,-1.661389
1898,11,-2.3173276,-1.9235401
1898,12,-1.4870748,-2.1221369
1899,1,1.0096223,-0.0096938233
1899,2,-4.4044453,-4.8590005
1899,3,-0.66355183,-2.863949
1899,4,-0.45605454,-0.50659312
1899,5,2.2471375,-1.0595447
1899,6,1.1977624,-0.59225083
1899,7,0.093517789,-0.5308643
1899,8,1.5277921,-0.69163634
1899,9,-0.48089332,0.27304386
1899,10,1.8261759,-0.51165914
1899,11,1.0841778,2.0150481
1899,12,-0.861722,-0.052191714
1900,1,1.7451342,2.95277
1900,2,-1.7755594,-1.916379
1900,3,-1.5034955,0.11821501
1900,4,0.27386454,0.37098629
1900,5,0.56423695,0.83099363
1900,6,0.13305956,1.12842
1900,7,0.17149168,-0.46225301
1900,8,1.900761,-0.019939914
1900,9,2.4155461,-0.27477773
1900,10,2.9568937,0.89164919
1900,11,0.1880083,-0.35793586
1900,12,0.54713237,1.6217708
1901,1,2.3248714,1.0226354
1901,2,-2.027722,-2.2223105
1901,3,-0.59243814,-0.54399116
1901,4,-2.5284983,-0.66619145
1901,5,-0.19753572,0.63360213
1901,6,1.2563385,-0.78289135
1901,7,2.0578745,1.0596441
1901,8,0.36522011,0.69535014
1901,9,-0.39322975,-0.9297125
1901,10,0.23131297,1.0002155
1901,11,-2.3979928,0.48336497
1901,12,-2.1491406,0.093498824
1902,1,0.2805878,0.48303451
1902,2,-3.8830948,-0.53207163
1902,3,0.30102475,-0.11616699
1902,4,-0.72619035,-0.017251144
1902,5,2.6176403,0.57893038
1902,6,0.63884187,-0.63067896
1902,7,0.60896128,-1.3081488
1902,8,0.53381004,-0.49323883
1902,9,-1.1907488,-0.89269228
1902,10,0.63512496,0.22650719
1902,11,2.6730317,0.41989462
1902,12,-0.51840597,-0.9233848
1903,1,0.68705423,0.97632138
1903,2,0.19810286,-3.714173
1903,3,2.4313535,-0.42493121
1903,4,-0.61288018,-0.50493405
1903,5,0.35545779,-0.70180022
1903,6,-2.352749,-1.1256458
1903,7,0.085533449,-1.2541395
1903,8,0.28485026,-0.7872542
1903,9,-0.51765918,-1.1621731
1903,10,-0.15069238,0.092571823
1903,11,-2.1601509,-0.6592353
1903,12,-2.7044048,-0.31616636
1904,1,-0.85257553,-0.90269193
1904,2,-0.050979925,-1.5735594
1904,3,1.1196498,-0.51939879
1904,4,-2.3356838,-0.52941844
1904,5,-0.36749322,-0.08505784
1904,6,-0.15559154,-0.99166491
1904,7,-1.0044962,-1.3503282
1904,8,-0.58153798,-0.7517434
1904,9,1.0833498,-0.029444466
1904,10,0.32041598,0.019050272
