Year,Month,Tin,Tout
1899,6,0.92371427,-0.24707317
1899,7,-0.10171428,-0.43359755
1899,8,1.3694285,-0.52201218
1899,9,-0.74914284,0.094329266
1899,10,1.7577142,-0.50585365
1899,11,1.5817143,1.9290243
1899,12,-1.2817143,-0.55932926
1900,1,1.1951428,2.8049999
1900,2,-2.2771428,-1.8120122
1900,3,-1.116,0.38353658
1900,4,0.047999999,0.41579267
1900,5,0.34142856,0.9719512
1900,6,-0.0099999998,1.1242073
1900,7,-0.097428569,-0.34993902
1900,8,1.5588571,0.28634146
1900,9,2.1257142,-0.27079268
1900,10,2.6374285,0.97506095
1900,11,0.45914285,-0.16542683
1900,12,0.22114285,0.98963412
1901,1,1.8134285,1.1679878
1901,2,-2.4705714,-2.254878
1901,3,-0.39371428,-0.0031707316
1901,4,-2.6117142,-0.44939023
1901,5,-0.47399999,0.68054877
1901,6,1.2111428,-0.40390243
1901,7,2.0282857,1.289939
1901,8,0.22714285,0.76164632
1901,9,-0.65057141,-0.89896339
1901,10,0.146,0.79481706
1901,11,-1.758,0.38585365
1901,12,-2.6857142,-0.50152438
1902,1,-0.4482857,0.42542682
1902,2,-4.3325713,-0.62634145
1902,3,0.59342856,0.46213414
1902,4,-0.81514284,0.14640244
1902,5,2.4317142,0.6817073
1902,6,0.51571427,-0.57457316
1902,7,0.35999999,-1.1570122
1902,8,0.44485713,-0.54115852
1902,9,-1.556,-0.93463413
1902,10,0.38314285,0.085792681
1902,11,2.9637142,0.67829267
1902,12,-1.0331428,-1.2914024
1903,1,0.062285713,0.93146339
1903,2,-0.52114285,-3.5799999
1903,3,2.3677142,0.51158535
1903,4,-0.85342855,-0.2827439
1903,5,-0.042571428,-0.34024389
1903,6,-2.6477142,-1.1003658
1903,7,-0.12571428,-1.1021341
1903,8,-0.018285714,-0.69006096
1903,9,-0.86171427,-1.1414024
1903,10,-0.42657142,-0.039451219
1903,11,-1.8225714,-0.55176828
1903,12,-2.8945714,-1.1242073
1904,1,-1.4125714,-1.1489024
1904,2,-0.25342857,-1.6303658
1904,3,1.4688571,0.21310975
1904,4,-2.5902857,-0.59280486
1904,5,-0.62857141,0.10371951
1904,6,-0.34028571,-0.81554876
1904,7,-1.1885714,-1.3190853
1904,8,-0.77999998,-0.71249998
1904,9,0.91314284,-0.096768291
1904,10,0.20885714,-0.25579268
1904,11,-0.38514285,1.1597561
1904,12,-0.6602857,-0.64018291
1905,1,-3.1171428,-1.0193292
1905,2,-5.5042856,-3.5119511
1905,3,2.8171428,2.2175
1905,4,-0.25028571,-0.29646341
1905,5,1.294,-1.0480488
1905,6,0.91657141,-0.6342073
1905,7,-1.0377143,-0.93286583
1905,8,0.071714284,0.23432926
1905,9,0.81771427,0.6209756
1905,10,-0.31828571,-1.7496341
1905,11,0.79257141,0.16432926
1905,12,-1.6308571,-0.91365852
1906,1,1.9577142,1.9141463
1906,2,-1.1488571,0.062499999
1906,3,-3.2445714,-2.437256
1906,4,0.90485712,0.96006095
1906,5,0.039714285,-0.44615853
1906,6,0.28742857,-0.92054876
1906,7,-1.1502857,-0.61115852
1906,8,0.27942857,-0.1077439
1906,9,1.7294285,0.66018291
1906,10,-1.3905714,-0.81426827
1906,11,-0.018285714,-0.80432925
1906,12,1.3954285,0.91987803
1907,1,4.8237142,-0.41932926
1907,2,0.31485714,0.85560974
1907,3,5.2905713,2.0190243
1907,4,-3.6342856,-1.5882926
1907,5,-2.128,-2.4420731
1907,6,-1.1037143,-1.6783536
1907,7,0.33428571,-0.80762193
1907,8,0.39514285,-0.95524388
1907,9,0.20428571,-0.49713414
1907,10,-0.64885713,-0.2134756
1907,11,-1.2862857,-0.24432926
1907,12,0.31971428,0.99402437
1908,1,0.75599998,1.7714634
1908,2,-0.70542856,-0.51548779
1908,3,3.7714285,1.1415853
1908,4,1.2062857,0.83042681
1908,5,0.49457142,-1.0720731
1908,6,-0.060571427,-1.1175
1908,7,-0.37628571,-0.27262195
1908,8,-0.057999999,-0.91530486
1908,9,0.32257142,0.49579267
1908,10,-1.354,-1.3495122
1908,11,1.2805714,0.24506097
1908,12,1.6297142,-0.27743902
1909,1,2.5085714,1.264817
1909,2,1.8817142,0.29164633
1909,3,0.23714285,-0.40524389
1909,4,-0.49485713,-1.3587195
1909,5,-0.97514284,-1.2646951
1909,6,0.38571428,0.091707315
1909,7,-0.15571428,-0.72463413
1909,8,1.0282857,0.45042682
1909,9,-0.050857142,-0.30890243
1909,10,-0.5362857,-0.86878047
1909,11,3.8737142,1.3728658
1909,12,-4.0234285,-4.1400609
1910,1,0.74057141,-0.14402439
1910,2,-2.1034285,-2.6442073
1910,3,4.4842856,4.8787194
1910,4,-0.71085713,2.0057317
1910,5,-1.5928571,-0.33237804
1910,6,-1.3054285,0.096829266
1910,7,-0.41028571,0.35463414
1910,8,-0.18285714,-0.59292682
1910,9,1.2474285,0.25615853
1910,10,1.1254285,0.71018291
1910,11,-1.1251428,-0.16347561
1910,12,-2.1165714,-0.33408536
1911,1,3.5288571,1.4245731
1911,2,3.2474285,-0.93439022
1911,3,1.5794285,1.779817
1911,4,-0.5842857,-0.56939023
1911,5,1.4111428,0.4484756
1911,6,2.0631428,0.99128047
1911,7,-0.62999999,-0.49493901
1911,8,-0.15171428,-0.69926828
1911,9,2.8331428,0.17634146
1911,10,1.1085714,-1.3401829
1911,11,-2.2471428,-2.4865853
1911,12,1.1085714,-0.80054876
1912,1,-3.3437142,-2.5940853
1912,2,-3.1434285,-1.1857927
1912,3,-2.6082857,-2.8536585
1912,4,0.40485713,-0.41030487
1912,5,0.78999998,0.068902437
1912,6,-1.5642857,-0.92347559
1912,7,0.14314285,-0.99103656
1912,8,-0.30057142,-1.262439
1912,9,0.91171427,-1.6185975
1912,10,0.92657141,-0.95981705
1912,11,-0.8402857,0.57853657
1912,12,0.023999999,0.016463414
1913,1,3.3231428,-0.093902437
1913,2,-1.1668571,-2.7450609
1913,3,-0.39514285,-1.299878
1913,4,-0.67942856,0.46390243
1913,5,0.20971428,-0.095609754
1913,6,0.39142856,-0.24079268
1913,7,0.91714284,-0.63926828
1913,8,1.3348571,0.67481706
1913,9,-0.53142856,-0.58048779
1913,10,-1.1565714,-1.425
1913,11,2.3851428,1.7677439
1913,12,0.7162857,0.078597559
1914,1,2.8005714,2.8053048
1914,2,-2.186,-2.4383536
1914,3,-1.7002857,0.41408536
1914,4,-0.29799999,0.066341462
1914,5,0.42542856,0.62945121
1914,6,2.8248571,-0.045792682
1914,7,1.0854285,0.07164634
1914,8,0.12485714,-0.1852439
1914,9,-0.20457142,-0.093658534
1914,10,0.5662857,0.6389634
1914,11,0.34142856,1.1021341
1914,12,-3.1208571,-3.5536585
1915,1,-0.58999999,-0.58762194
1915,2,1.3671428,1.1572561
1915,3,-4.5511428,-1.4635975
1915,4,1.15,2.289817
1915,5,0.48857142,-1.5308536
1915,6,-0.26399999,-1.6385975
1915,7,-0.5582857,-1.7144512
1915,8,-1.6888571,-0.92792681
1915,9,0.97371426,-0.42896341
1915,10,1.178,0.50762194
1915,11,1.8482857,0.5187195
1915,12,-0.14171428,0.080914632
1916,1,3.1119999,-1.6063414
1916,2,-0.56657142,-0.5559756
1916,3,0.042571428,0.82054876
1916,4,-1.2931428,-0.20140243
1916,5,1.0097143,-0.84085364
1916,6,-0.87742855,-1.4002439
1916,7,0.5862857,0.3234756
1916,8,0.82199998,-0.25475609
1916,9,-0.65314284,-0.65615852
1916,10,0.14457143,-1.435
1916,11,0.42314285,-1.1407927
1916,12,-0.67742856,-2.7625609
1917,1,2.2925714,-1.4679878
1917,2,-0.45171428,-2.6179877
1917,3,0.70885713,-1.8179268
1917,4,-0.62657141,-1.497378
1917,5,-2.9854285,-2.7714024
1917,6,-0.54085713,-1.0054268
1917,7,-0.16371428,0.65493901
1917,8,-0.81999998,-0.48786584
1917,9,-0.85199998,-0.22378048
1917,10,-3.2379999,-1.8945731
1917,11,-0.85685712,1.4201219
1917,12,-4.5485713,-1.3240244
1918,1,-5.6265713,-2.6085365
1918,2,1.9114285,-0.52865852
1918,3,3.5959999,2.4832926
1918,4,-1.6208571,-0.98634144
1918,5,1.5517143,0.14353658
1918,6,1.3171428,1.405
1918,7,-0.79885713,-0.68847559
1918,8,1.5457143,0.048719511
1918,9,-2.9317142,-1.3166463
1918,10,2.0797142,0.85762193
1918,11,-0.51542856,-0.6259756
1918,12,2.5057142,0.37560975
1919,1,1.0428571,1.3757927
1919,2,0.29171428,-1.1180488
1919,3,0.96371426,-0.077682925
1919,4,-0.37199999,0.26189024
1919,5,-1.0551428,0.12493902
1919,6,0.49457142,0.46298779
1919,7,0.40714285,0.46762194
1919,8,0.066857141,0.13609756
1919,9,0.67257141,0.47939023
1919,10,3.5599999,-1.9504878
1919,11,0.66599999,-1.8383536
1919,12,-1.2531428,-2.7386585
1920,1,0.204,-0.36743902
1920,2,-0.23342857,-0.19804878
1920,3,-0.23514285,-0.26487804
1920,4,-1.5805714,-2.5434756
1920,5,-0.064571427,-0.62652438
1920,6,-0.51199999,-0.67451218
1920,7,-0.60971427,-0.53664633
1920,8,-1.1914285,-0.6217073
1920,9,0.98857141,0.17243902
1920,10,0.99114283,0.11719512
1920,11,-1.6897142,-1.0159146
1920,12,-0.090857141,0.059756096
1921,1,3.3914285,2.4621341
1921,2,2.2797142,1.5171341
1921,3,5.0894285,2.8139634
1921,4,-0.34028571,0.11128049
1921,5,0.066857141,-0.047439023
1921,6,1.488,0.92579266
1921,7,0.92771426,0.54890243
1921,8,0.40457142,-0.098963412
1921,9,3.1171428,0.52792682
1921,10,-0.32657142,0.82652437
1921,11,1.8737142,0.10896341
1921,12,2.076,0.84518291
1922,1,0.16457142,-1.8660365
1922,2,2.4362857,-1.8467073
1922,3,0.72714284,-0.30390243
1922,4,1.1608571,-0.69926828
1922,5,0.92857141,0.52341462
1922,6,0.90342855,0.94030486
1922,7,-0.29371428,-0.38182926
1922,8,-0.11228571,0.5764634
1922,9,1.3408571,1.4254878
1922,10,0.75399998,0.35908536
1922,11,1.2817143,-0.19804878
1922,12,2.4505714,-0.34036585
1923,1,4.1822856,2.3881097
1923,2,-0.96542855,-2.7385975
1923,3,-0.62199999,-1.6054268
1923,4,-0.59285713,-0.62554877
1923,5,-0.98285712,-0.25975609
1923,6,0.044857142,-0.32231707
1923,7,-0.33685714,0.18347561
1923,8,0.30342856,-0.66292681
1923,9,0.25514285,0.1579878
1923,10,-1.1325714,-1.7005487
1923,11,-0.52742856,0.79932925
1923,12,3.7828571,1.2151219
1924,1,-1.8325714,-1.8437195
1924,2,-0.55485713,1.0017073
1924,3,-2.5242857,-1.8292073
1924,4,-0.15514285,-0.4237195
1924,5,-2.4619999,-0.98567071
1924,6,0.76142855,-0.14012195
1924,7,-0.97942855,-0.9592073
1924,8,1.028,-0.17128048
1924,9,-1.7542857,-0.97676827
1924,10,1.0614285,0.35426828
1924,11,0.94342855,0.24993902
1924,12,-0.99028569,-3.5782316
1925,1,0.66714284,-0.48829267
1925,2,3.0885714,2.3067682
1925,3,1.8531428,1.9422561
1925,4,2.3439999,2.0132926
1925,5,-1.25,0.13926829
1925,6,1.9917142,0.45817072
1925,7,0.51971427,0.19597561
1925,8,0.32285714,-0.42902438
1925,9,3.8282856,0.42091462
1925,10,-1.6734285,-3.3229877
1925,11,-0.94742855,-0.6714634
1925,12,-1.5751428,-0.013963414
1926,1,0.26857142,0.45963414
1926,2,2.1102857,2.0360365
1926,3,-2.6805714,-0.21475609
1926,4,-2.3937142,-0.096280486
1926,5,0.18371428,0.55487804
1926,6,-0.53514285,-0.10701219
1926,7,-0.14571428,-0.13585366
1926,8,0.72914284,0.10323171
1926,9,1.784,-0.89786583
