Year,Month,Day,LWA_Anticylonic,LWA_Cylonic
1987,9,14,4112010.17411,1586765.42198
1987,9,15,2880324.80629,1398603.27364
1987,9,16,2767871.40468,2370939.74549
1987,9,17,3857975.29314,3179233.58254
1987,9,18,3840330.423,3817206.7191
1987,9,19,3482777.27712,4083562.84038
1987,9,20,3664042.16833,2676938.30072
1987,9,21,2813729.11525,2856706.50756
1987,9,22,2642076.88485,2366066.70584
1987,9,23,3009986.41155,1926903.07571
1987,9,24,3190996.50804,3207267.26602
1987,9,25,3081425.79315,5042071.64695
1987,9,26,3283980.1194,5566737.46127
1987,9,27,4555065.34401,3981575.82048
1987,9,28,3566251.3487,2728519.45531
1987,9,29,2928806.71508,2944143.78906
1987,9,30,3029875.06981,2610221.16796
1987,10,1,4480450.75689,4497881.29389
1987,10,2,8113948.7026,4313068.53178
1987,10,3,9683955.03261,2675105.85309
1987,10,4,6973257.29505,2584342.11323
1987,10,5,5211793.86193,2937700.0769
1987,10,6,4405788.79484,3805365.28013
1987,10,7,5584717.60833,4769473.13101
1987,10,8,7331179.11692,5540460.87604
1987,10,9,7901973.44776,5634741.01198
1987,10,10,7835146.95848,5146727.72634
1987,10,11,6585868.99873,3817546.7408
1987,10,12,6212950.10571,3444883.79556
1987,10,13,7060577.11814,4307906.57744
1987,10,14,7636002.11215,6366976.88037
1987,10,15,7879531.09407,7732959.87533
1987,10,16,7836738.65221,8519194.35002
1987,10,17,8336145.06351,7566302.46867
1987,10,18,9757840.93221,5489351.83879
1987,10,19,10621049.5887,6215983.7344
1987,10,20,10510470.1932,7394319.3512
1987,10,21,8650429.78349,6462507.74164
1987,10,22,6473513.10555,6690631.40106
1987,10,23,5335434.22185,7939061.84487
1987,10,24,4965190.23941,4786742.5061
1987,10,25,4629716.29043,3427955.06783
1987,10,26,5695756.99514,3971572.62482
1987,10,27,6525973.76615,3981266.31113
1987,10,28,6242204.26487,3426049.07949
1987,10,29,6409199.75386,3133208.88022
1987,10,30,5720141.40346,5160146.0019
1987,10,31,4728799.60765,5953487.51394
1987,11,1,4088361.21265,4466863.1036
1987,11,2,4405939.76554,3164037.98249
1987,11,3,5952511.27055,2086741.87741
1987,11,4,7932228.16835,2160514.10546
1987,11,5,9270162.71111,2820900.92837
1987,11,6,7924487.28475,6025449.61116
1987,11,7,6290543.83823,12009037.0563
1987,11,8,6230863.49759,11969003.9765
1987,11,9,5318788.59746,8104069.92516
1987,11,10,3644131.49935,5006104.66598
1987,11,11,2051739.51738,4883487.69215
1987,11,12,1008071.93253,4081203.16618
1987,11,13,944641.219522,2983059.5995
1987,11,14,1269377.99282,3646683.81909
1987,11,15,1414370.76131,5528444.12143
1987,11,16,2106629.67706,6420614.70779
1987,11,17,3670217.56448,6812037.44853
1987,11,18,5680215.05264,9677821.47687
1987,11,19,6201297.07382,11344080.6486
1987,11,20,7698915.57891,10047714.2151
1987,11,21,6908174.01806,9297334.0306
1987,11,22,10079806.3231,7862582.8406
1987,11,23,12081645.5857,8018380.75922
